Created on 10-18-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-10-10 12-PM,ETHUSD,223,223.83,223,223.59,1.53,343.16
2018-10-10 11-AM,ETHUSD,223.33,223.33,223,223,8.48,1890.37
2018-10-10 10-AM,ETHUSD,222.83,223.33,222.83,223.33,10.0,2233.3
2018-10-10 09-AM,ETHUSD,222.95,223.15,222.83,222.83,38.78,8648.3
2018-10-10 08-AM,ETHUSD,223.25,223.25,222.53,222.95,50.69,11289.93
2018-10-10 07-AM,ETHUSD,222.95,223.25,222.7,223.25,6.17,1374.45
2018-10-10 06-AM,ETHUSD,222,222.95,222,222.95,23.64,5253.91
2018-10-10 05-AM,ETHUSD,223.57,223.57,222,222,42.54,9472.6
2018-10-10 04-AM,ETHUSD,224.45,224.45,223.57,223.57,31.25,6990.94
2018-10-10 03-AM,ETHUSD,225.06,225.06,223.6,224.45,83.15,18665.31
2018-10-10 02-AM,ETHUSD,225.26,225.26,225.06,225.06,9.0,2025.54
2018-10-10 01-AM,ETHUSD,226.25,226.25,225,225.26,6.64,1497.6
2018-10-10 12-AM,ETHUSD,225.99,226.25,225.4,226.25,0.8554,193.16
2018-10-09 11-PM,ETHUSD,226.97,226.97,225.99,225.99,0.1487,33.61
2018-10-09 10-PM,ETHUSD,226.98,226.98,226.97,226.97,0.1487,33.75
2018-10-09 09-PM,ETHUSD,226.43,226.98,225.37,226.98,25.09,5688.61
2018-10-09 08-PM,ETHUSD,226.95,226.95,226.22,226.43,4.81,1087.43
2018-10-09 07-PM,ETHUSD,225.38,227.09,225.38,226.95,27.1,6148.33
2018-10-09 06-PM,ETHUSD,225.38,225.38,225.38,225.38,0.0,0.0
2018-10-09 05-PM,ETHUSD,225.38,225.38,225.38,225.38,0.0,0.0
2018-10-09 04-PM,ETHUSD,226.74,226.74,225.38,225.38,172.41,39040.75
2018-10-09 03-PM,ETHUSD,225,227,225,226.74,36.12,8146.27
2018-10-09 02-PM,ETHUSD,225,225,225,225,5.03,1131.26
2018-10-09 01-PM,ETHUSD,225,226.07,224.99,225,42.69,9612.04
2018-10-09 12-PM,ETHUSD,225.07,225.07,225,225,0.5336,120.06
2018-10-09 11-AM,ETHUSD,226,227.78,225.07,225.07,12.66,2874.74
2018-10-09 10-AM,ETHUSD,227.81,227.88,226,226,889.6,201054.81
2018-10-09 09-AM,ETHUSD,227.5,227.81,226.73,227.81,7.32,1665.12
2018-10-09 08-AM,ETHUSD,228,228,227.5,227.5,2.53,576.01
2018-10-09 07-AM,ETHUSD,228.5,228.5,228,228,2.1,478.6
2018-10-09 06-AM,ETHUSD,228.41,228.5,228.41,228.5,0.03727,8.52
2018-10-09 05-AM,ETHUSD,228.41,228.41,228.41,228.41,0.0,0.0
2018-10-09 04-AM,ETHUSD,228,228.41,228,228.41,0.1751,40.0
2018-10-09 03-AM,ETHUSD,226.73,228.19,226.73,228,3.97,904.84
2018-10-09 02-AM,ETHUSD,226.7,226.73,226.7,226.73,112.05,25402.58
2018-10-09 01-AM,ETHUSD,228.58,228.58,226.7,226.7,159.45,36147.98
2018-10-09 12-AM,ETHUSD,228,228.58,228,228.58,28.33,6468.53
2018-10-08 11-PM,ETHUSD,228.01,228.01,228,228,31.08,7086.43
2018-10-08 10-PM,ETHUSD,228.65,228.65,228.01,228.01,8.55,1952.3
2018-10-08 09-PM,ETHUSD,228.65,228.65,228.65,228.65,0.0,0.0
2018-10-08 08-PM,ETHUSD,228.81,228.81,228.55,228.65,43.83,10020.85
2018-10-08 07-PM,ETHUSD,227.92,229.81,227.37,228.81,61.43,14049.7
2018-10-08 06-PM,ETHUSD,227.08,228.59,227.08,227.92,39.08,8905.48
2018-10-08 05-PM,ETHUSD,228,228,227.01,227.08,0.4622,105.36
2018-10-08 04-PM,ETHUSD,228.3,228.99,227.35,228,36.16,8243.63
2018-10-08 03-PM,ETHUSD,226.97,228.3,226.97,228.3,80.7,18377.24
2018-10-08 02-PM,ETHUSD,227.58,227.58,226.97,226.97,1.49,339.7
2018-10-08 01-PM,ETHUSD,228.5,228.5,227.06,227.58,81.28,18534.98
2018-10-08 12-PM,ETHUSD,224.81,229.74,224.27,228.5,145.09,32994.64
2018-10-08 11-AM,ETHUSD,223.69,225.37,223.69,224.81,53.73,12085.82
2018-10-08 10-AM,ETHUSD,223.69,223.69,223.69,223.69,0.48,107.36
2018-10-08 09-AM,ETHUSD,223.69,223.69,223.69,223.69,0.0,0.0
2018-10-08 08-AM,ETHUSD,224.11,224.11,223.07,223.69,20.03,4471.25
2018-10-08 07-AM,ETHUSD,222.52,224.11,222.52,224.11,0.006005,1.35
2018-10-08 06-AM,ETHUSD,223.49,223.49,222.52,222.52,0.949,211.18
2018-10-08 05-AM,ETHUSD,223.31,224.29,223.31,223.49,24.27,5430.03
2018-10-08 04-AM,ETHUSD,223.45,223.45,223.31,223.31,4.99,1114.9
2018-10-08 03-AM,ETHUSD,223.45,223.45,223.45,223.45,0.0,0.0
2018-10-08 02-AM,ETHUSD,225.04,225.04,223.45,223.45,2.86,639.08
2018-10-08 01-AM,ETHUSD,225.04,225.04,225.04,225.04,0.0,0.0
2018-10-08 12-AM,ETHUSD,225.34,225.34,225.04,225.04,11.76,2645.54
2018-10-07 11-PM,ETHUSD,223.44,225.81,223.44,225.34,79.04,17839.62
2018-10-07 10-PM,ETHUSD,224,224,223.44,223.44,2.0,446.88
2018-10-07 09-PM,ETHUSD,224,224,224,224,0.0,0.0
2018-10-07 08-PM,ETHUSD,222.49,224,222.49,224,11.81,2634.05
2018-10-07 07-PM,ETHUSD,223.88,223.88,222.49,222.49,1.7,377.41
2018-10-07 06-PM,ETHUSD,224.01,224.01,223.88,223.88,0.3582,80.22
2018-10-07 05-PM,ETHUSD,222.45,224.28,222.45,224.01,29.88,6701.42
2018-10-07 04-PM,ETHUSD,222.45,222.45,222.45,222.45,1.31,290.44
2018-10-07 03-PM,ETHUSD,222.4,222.45,222.4,222.45,8.79,1954.52
2018-10-07 02-PM,ETHUSD,222,222.82,222,222.4,6.67,1484.57
2018-10-07 01-PM,ETHUSD,221.97,222,221.97,222,0.1138,25.25
2018-10-07 12-PM,ETHUSD,222,222,221.97,221.97,1.86,411.92
2018-10-07 11-AM,ETHUSD,221.9,222,221.68,222,6.86,1521.95
2018-10-07 10-AM,ETHUSD,221.9,221.9,221.9,221.9,0.1452,32.22
2018-10-07 09-AM,ETHUSD,220.96,221.9,220.96,221.9,20.29,4502.02
2018-10-07 08-AM,ETHUSD,223.5,223.5,220.1,220.96,16.16,3571.29
2018-10-07 07-AM,ETHUSD,224.06,224.06,223.5,223.5,4.95,1105.96
2018-10-07 06-AM,ETHUSD,225,225.55,223.17,224.06,31.84,7148.15
2018-10-07 05-AM,ETHUSD,225,225,225,225,0.0,0.0
2018-10-07 04-AM,ETHUSD,225,225,225,225,1.28,287.28
2018-10-07 03-AM,ETHUSD,225,225,225,225,0.5,112.5
2018-10-07 02-AM,ETHUSD,223.7,225,223.7,225,0.0005942,0.1337
2018-10-07 01-AM,ETHUSD,224.35,225,223.7,223.7,5.61,1261.56
2018-10-07 12-AM,ETHUSD,224.35,224.35,224.35,224.35,0.0,0.0
2018-10-06 11-PM,ETHUSD,224.34,224.35,224.34,224.35,7.83,1756.68
2018-10-06 10-PM,ETHUSD,223.12,224.34,223.12,224.34,5.8,1299.93
2018-10-06 09-PM,ETHUSD,224.6,224.6,223.11,223.12,36.93,8239.24
2018-10-06 08-PM,ETHUSD,222.66,224.6,222.66,224.6,26.65,5957.46
2018-10-06 07-PM,ETHUSD,223,223,222.66,222.66,0.54,120.24
2018-10-06 06-PM,ETHUSD,223.96,224,223,223,2.6,581.53
2018-10-06 05-PM,ETHUSD,223,223.96,223,223.96,1.71,382.98
2018-10-06 04-PM,ETHUSD,223.21,224.18,223,223,0.8388,187.24
2018-10-06 03-PM,ETHUSD,223,223.21,223,223.21,10.05,2242.11
2018-10-06 02-PM,ETHUSD,223,223,223,223,0.4496,100.25
2018-10-06 01-PM,ETHUSD,225,225,223,223,0.4537,101.18
2018-10-06 12-PM,ETHUSD,223.5,225,223.5,225,29.38,6610.4
2018-10-06 11-AM,ETHUSD,225.77,225.77,222.99,223.5,109.16,24442.68
2018-10-06 10-AM,ETHUSD,226.44,226.45,225.77,225.77,41.64,9429.44
2018-10-06 09-AM,ETHUSD,226.5,226.5,226.44,226.44,2.86,648.36
2018-10-06 08-AM,ETHUSD,226.5,226.5,226.5,226.5,0.0,0.0
2018-10-06 07-AM,ETHUSD,226.5,226.5,225.15,226.5,2.3,518.25
2018-10-06 06-AM,ETHUSD,226.41,226.5,226.41,226.5,15.85,3589.88
2018-10-06 05-AM,ETHUSD,226.22,226.42,226.22,226.41,11.05,2501.05
2018-10-06 04-AM,ETHUSD,225.73,226.22,225.73,226.22,7.78,1758.47
2018-10-06 03-AM,ETHUSD,223.89,225.73,223.89,225.73,0.3948,89.11
2018-10-06 02-AM,ETHUSD,225.01,225.01,223.89,223.89,0.4,89.56
2018-10-06 01-AM,ETHUSD,225.01,225.01,225.01,225.01,7.71,1735.21
2018-10-06 12-AM,ETHUSD,227,227.17,225.01,225.01,11.41,2578.25
2018-10-05 11-PM,ETHUSD,227,227,227,227,0.5576,126.58
2018-10-05 10-PM,ETHUSD,222.82,229.67,222.82,227,171.44,38915.62
2018-10-05 09-PM,ETHUSD,222.99,222.99,222.41,222.82,11.94,2656.79
2018-10-05 08-PM,ETHUSD,222.7,222.99,222.7,222.99,3.1,692.37
2018-10-05 07-PM,ETHUSD,220.84,222.7,220.84,222.7,2.09,465.01
2018-10-05 06-PM,ETHUSD,222.86,222.86,220.84,220.84,26.35,5820.73
2018-10-05 05-PM,ETHUSD,222.86,222.86,222.86,222.86,0.0,0.0
2018-10-05 04-PM,ETHUSD,223.2,223.2,222.86,222.86,0.6704,149.4
2018-10-05 03-PM,ETHUSD,221.98,223.2,221.98,223.2,6.27,1399.25
2018-10-05 02-PM,ETHUSD,222.9,222.9,221.53,221.98,43.5,9650.37
2018-10-05 01-PM,ETHUSD,222.9,222.9,222.9,222.9,0.1,22.29
2018-10-05 12-PM,ETHUSD,220.98,222.9,220.98,222.9,8.36,1856.8
2018-10-05 11-AM,ETHUSD,218.89,220.98,218.89,220.98,2.13,471.06
2018-10-05 10-AM,ETHUSD,218.89,218.89,218.89,218.89,0.0,0.0
2018-10-05 09-AM,ETHUSD,218.8,220.14,218.8,218.89,13.49,2958.76
2018-10-05 08-AM,ETHUSD,218.57,220.39,218.57,218.8,3.35,738.22
2018-10-05 07-AM,ETHUSD,220.62,220.62,218.33,218.57,4.03,880.96
2018-10-05 06-AM,ETHUSD,219.24,220.62,219.24,220.62,0.2491,54.95
2018-10-05 05-AM,ETHUSD,219.88,220.23,219.22,219.24,12.11,2666.95
2018-10-05 04-AM,ETHUSD,219.66,219.88,219.66,219.88,2.08,457.59
2018-10-05 03-AM,ETHUSD,219.66,219.66,219.66,219.66,0.0,0.0
2018-10-05 02-AM,ETHUSD,222.31,222.31,218.97,219.66,53.92,11850.72
2018-10-05 01-AM,ETHUSD,222.5,222.5,222.2,222.31,1.8,399.13
2018-10-05 12-AM,ETHUSD,222.17,222.79,222.17,222.5,30.26,6735.84
2018-10-04 11-PM,ETHUSD,218.44,222.17,218.44,222.17,5.0,1110.84
2018-10-04 10-PM,ETHUSD,218.44,218.44,218.44,218.44,0.0,0.0
2018-10-04 09-PM,ETHUSD,221.5,221.5,218.44,218.44,11.12,2440.17
2018-10-04 08-PM,ETHUSD,223.28,223.28,221.5,221.5,9.11,2017.13
2018-10-04 07-PM,ETHUSD,223.28,223.99,223.28,223.28,50.63,11311.14
2018-10-04 06-PM,ETHUSD,223.28,224,223.28,223.28,144.6,32355.73
2018-10-04 05-PM,ETHUSD,223.28,223.28,223.28,223.28,0.0,0.0
2018-10-04 04-PM,ETHUSD,223.26,224,223.1,223.28,121.0,27091.65
2018-10-04 03-PM,ETHUSD,223.2,223.26,223.2,223.26,0.3541,79.04
2018-10-04 02-PM,ETHUSD,224,224,223.2,223.2,3.41,762.02
